Name,height,games,minutes,age,point,assist,rebound,fieldgoal,freethrow,Spoint
R. Miller,201,82,2954,28,21.2,3.2,3.1,47.9,88,0.588490183
M. Jordan,198,78,3067,30,32.6,5.5,6.7,49.5,83.7,0.829083795
D. West,198,80,3104,26,19.3,2.9,3.1,51.7,84.1,0.49742268
J. Dumars,191,76,3094,30,23.5,4,1.9,46.6,86.4,0.577246283
M. Richmond,196,45,1728,28,21.9,4.9,3.4,47.4,84.5,0.5703125
C. Drexler,201,49,1671,31,19.9,5.7,6.3,42.9,83.9,0.583542789
J. Hornacek,193,79,2860,30,19.1,6.9,4.3,47,86.5,0.527587413
H. Hawkins,191,81,2977,27,20.3,3.9,4.3,47,86,0.552334565
S. Skiles,185,79,3036,29,15.4,9.4,3.7,46.7,89.2,0.400724638
S. Smith,203,48,1610,24,16,5.6,4.1,45.1,78.7,0.477018634
M. Williams,188,76,2661,27,15.1,8.7,3.6,44.6,90.7,0.431266441
R. Harper,198,81,2970,29,18,4.5,5.3,45.1,76.9,0.490909091
M. Abdul-Rauf,185,80,2710,24,19.2,4.2,2.8,45,93.5,0.566789668
T. Porter,191,81,2883,30,18.2,5.2,3.9,45.4,84.3,0.511342352
M. Jackson,191,82,3117,28,14.4,8.8,4.7,48.6,80.3,0.378825794
J. Malone,193,79,2558,32,18.1,1.6,2.2,49.4,85.2,0.5589914
K. Gill,196,69,2430,25,16.9,3.9,4.9,44.9,77.2,0.479876543
M. Price,183,75,2380,29,18.2,8,2.7,48.4,94.8,0.573529412
R. Pierce,193,77,2218,34,18.2,2.9,2.5,48.9,88.9,0.631830478
L. Sprewell,196,77,2741,23,15.4,3.8,3.5,46.4,74.6,0.432615834
S. Threatt,188,82,2893,32,15.1,6.9,3.3,50.8,82.3,0.427998617
K. Smith,191,82,2422,28,13,5.4,2,52,87.8,0.440132122
J. Starks,196,79,2477,28,17.5,5.1,2.6,42.8,79.5,0.558134841
J. Jackson,198,28,938,23,16.3,4.7,4.4,39.5,73.9,0.486567164
D. Harper,193,61,2108,32,18.2,5.4,2,41.9,75.6,0.526660342
T. Hardaway,183,66,2609,27,21.5,10.6,4,44.7,77.4,0.543886547
D. Ainge,196,81,2163,34,11.8,3.3,2.7,46.2,84.8,0.441886269
B. J. Armstrong,188,81,2492,26,12.3,4,1.8,49.9,86.1,0.399799358
G. Wilkins,198,81,2079,30,11.1,2.3,2.7,45.3,84,0.432467532
M. Adams,178,69,2499,30,14.8,7.5,3.4,43.9,85.6,0.408643457
K. Anderson,185,55,2010,23,16.9,8.2,4.1,43.5,77.6,0.462437811
J. Stockton,185,82,2863,31,15.1,12,2.9,48.6,79.8,0.432483409
K. Edwards,191,40,1134,28,13.9,3,3,46.8,84.4,0.490299824
K. Johnson,185,49,1643,27,16.1,7.8,2.1,49.9,81.9,0.480158247
G. Payton,193,82,2548,25,13.5,4.9,3.4,49.4,77,0.434458399
I. Thomas,185,80,2922,32,17.6,8.5,2.9,41.8,73.7,0.481861739
S. Marciulionis,196,30,836,29,17.4,3.5,3.2,54.3,76.1,0.624401914
R. Blackman,198,59,1434,34,9.7,2.6,1.7,44.3,78.9,0.399093445
V. Maxwell,193,72,2251,28,13.8,4.2,3.1,40.7,71.9,0.441403821
B. Smith,196,39,865,23,8.9,1.3,3.2,44.6,83.2,0.401271676
M. Blaylock,185,80,2820,26,13.4,8.4,3.5,42.9,72.8,0.380141844
A. Bowie,198,77,1761,30,8,2.3,2.5,47.1,79.8,0.349801249
D. Rivers,193,77,1886,32,7.8,5.3,2.5,43.7,82.1,0.31845175
B. Shaw,198,68,1603,27,7.3,3.5,3.8,39.3,78.2,0.30966937
R. Strickland,191,78,2474,27,13.7,7.2,4.3,48.5,71.7,0.431932094
B. Coles,188,80,2232,25,10.6,4.6,2,46.4,80.5,0.379928315
L. Smith,191,68,1546,24,9.3,2.7,1.5,45.8,85.8,0.409055627
V. D. Negro,193,74,1526,27,7.4,4,2.2,50.7,86.3,0.358846658
E. Murdock,185,80,2437,25,14.4,7.6,3.6,46.8,78,0.472712351
P. Richardson,185,74,2396,27,10.4,7.7,3.6,47.9,74.2,0.321202003
J. Hamphries,191,79,2034,31,8.8,4.1,1.8,43.6,77.7,0.341789577
S. Webb,170,69,2335,30,14.5,7,2.8,43.3,85.1,0.428479657
D. Brown,185,81,2254,25,10.9,5.8,3.1,46.8,79.3,0.391703638
R. Chapman,193,60,1300,26,12.5,1.9,1.5,47.7,81,0.576923077
J. Bagley,210,10,97,33,2.3,2,0.7,36,83.3,0.237113402
A. Peeler,193,76,1656,24,10.4,2.2,2.3,46.8,78.6,0.477294686
L. Daniels,201,78,1573,26,9.1,1.9,2.8,44.3,72.7,0.451239669
A. Robertson,193,69,2006,31,9,1.6,3.9,45.8,65.6,0.309571286
M. Macon,196,47,1141,24,7.5,2.6,2.1,41.5,70,0.308939527
T. Legler,193,33,635,27,8.8,1.4,1.8,43.6,80.3,0.457322835
A. Johnson,180,75,2030,28,8.7,7.5,1.9,50.2,79.1,0.321428571
H. Miner,196,73,1383,22,10.3,1,2,47.5,76.2,0.543673174
J. Dawkins,188,74,1598,30,8.9,4.6,1.8,43.7,79.6,0.412140175
D. Young,193,63,836,31,2.9,1.8,0.7,41.3,87.5,0.21854067
H. Davis,196,50,815,23,5.4,1.7,1.1,43.8,79.6,0.331288344
R. Brown,191,75,1726,25,7.6,2.6,2.8,46.3,73.2,0.330243337
V. Fleming,196,74,1503,31,9.5,3,2.3,50.5,72.6,0.467731204
J. Paxson,188,59,1030,33,4.2,2.3,0.8,45.1,85,0.240582524
G. Grant,191,74,1624,28,6.6,4.8,1.9,44.1,74.3,0.300738916
M. Cheeks,188,35,510,37,3.6,3.1,1.2,54.8,88.9,0.247058824
T. Bogues,160,82,2833,28,10,8.8,3.7,45.3,83.3,0.289445817
D. Overton,191,45,990,24,8.1,3.5,2.4,47.1,72.8,0.368181818
T. Tucker,196,68,909,34,5.2,1.2,1,48.5,81.8,0.3889989
R. Pack,188,77,1579,24,10.5,4.4,2.1,47,76.8,0.512032932
T. Brandon,183,82,1622,28,8.8,3.7,2.2,47.8,82.5,0.444882861
S. Floyd,191,53,867,33,6.6,2.5,1.7,40.7,79.4,0.403460208
C. Smith,191,79,1266,23,4.3,2.5,1.2,43.3,79.2,0.268325434
G. Anthony,188,70,1699,26,6.6,5.7,2.4,41.5,67.3,0.271924662
S. Brooks,180,82,1516,28,6.3,3,1.2,47.5,83,0.340765172
D. Barros,180,70,1243,26,7.8,2.2,1.6,45.1,83.1,0.439259855
T. George,196,49,380,25,2.5,1.2,0.6,37.8,83.3,0.322368421
S. Henson,185,54,719,25,4,2.9,1,39,85,0.300417246
N. Knight,185,51,888,26,6.1,2.8,1.2,39.1,77.9,0.350337838
T. Smith,193,55,752,25,6,1.1,1.6,48.4,75.6,0.438829787
M. Wiley,193,57,995,27,4.5,3.1,1.6,37.8,65.4,0.257788945
F. Johnson,185,78,1122,35,4.3,2.4,1.5,43.6,77.6,0.298930481
J. Battle,188,41,497,31,5.4,1.3,0.7,41.5,77.8,0.445472837
B. Price,185,68,859,25,3.9,2.3,1.5,35.8,79.4,0.308731083
J. Les,180,72,881,30,4.5,2.3,1.2,42.5,84,0.367763905
J. Barry,196,46,552,24,4.4,1.4,0.9,36.9,67.3,0.366666667
S. Green,196,13,81,23,4.8,0.5,0.7,50.9,75,0.77037037
C. Williams,188,35,242,23,2.3,0.7,0.9,36.5,81.8,0.332644628
S. Douglas,185,79,1932,27,7.8,6.4,2.1,49.8,56,0.318944099
R. Robinson,188,79,1585,27,8.4,4,2,42.3,57.4,0.418675079
K. Jennings,170,8,136,25,8.6,2.9,1.4,59.5,77.8,0.505882353
T. Bennett,183,74,857,24,3.7,1.8,0.8,42.3,73.2,0.319486581
D. Cooper,185,64,645,24,2.4,2.3,0.8,39.2,71.4,0.238139535
L. Mayberry,185,81,1503,23,5.2,3.3,1.4,45.6,57.4,0.280239521
L. Green,185,53,626,23,4.5,2.2,0.7,43.9,62.5,0.380990415
M. Newbern,193,33,311,26,3.6,1.7,1.1,37.2,56.7,0.381993569
J. Crotty,185,39,243,24,2.6,1.4,0.4,51.4,68.4,0.417283951
R. Woods,183,40,174,23,1.7,1,0.3,34.8,73.1,0.390804598
D. Walker,193,37,511,32,2.2,1.4,1.6,35.4,46.2,0.159295499
B. Phills,196,31,139,24,3,0.3,0.5,46.3,60,0.669064748
B. Kimble,193,9,55,27,3.7,0.4,1.2,42.4,37.5,0.605454545
